BookId,Title,Author,Illustrator,BookCoverImageUrl,LargeBookCoverImageUrl
1,The Case of the Bedroom Egg,Emily Brown,Sarah Lee,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book1/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book1/lcover.png
2,The Weird Voice in the Woods,James Wilson,Maria Garcia,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book2/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book2/lcover.png
3,The Case of the Wrong Bus,Nelson Yu,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book3/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book3/lcover.png
4,The Case of the Missing Moon,Shanna Germain,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book4/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book4/lcover.png
5,The Case of the Haunted House,Loni Kim,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book5/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book5/lcover.png
6,The Case of the Door to Tomorrow,Jerry Gordon,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book6/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book6/lcover.png
7,The Case of the Pencil Thief,Cole Swany,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book7/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book7/lcover.png
8,The Case of the Popped Balloons,Monica Valentinelli,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book8/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book8/lcover.png
9,The Case of the Lunchtime Detectives,Mur Lafferty,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book9/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book9/lcover.png
10,The Case of the Sidewalk Pirate Ship,Tula Eriksson Turtiainen,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book10/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book10/lcover.png
11,The Case of Piper's Mustache,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book11/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book11/lcover.png
12,The Case of the Friend In Need,John Zakour,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book12/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book12/lcover.png
13,The Case of the Lunch Ladies,Matt Denis,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book13/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book13/lcover.png
14,The Case of the Haunted House 2,Loni Kim,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book14/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book14/lcover.png
15,The Door to Tomorrow Part 2,Jerry Gordon,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book15/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book15/lcover.png
16,The Case of the  Flying Birthday,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book16/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book16/lcover.png
17,The Case of the Exploding Toilets,Matt Denis,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book17/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book17/lcover.png
18,The Green Goo,Steve Ince,Steve Ince,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book18/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book18/lcover.png
20,The Case of the  Monkeys and Lies,John Zakour,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book20/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book20/lcover.png
21,The Case of the Multiplying Bunnies,Monica Valentinelli,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book21/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book21/lcover.png
22,The Case of the Purple Gas,Tula Eriksson Turtiainen,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book22/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book22/lcover.png
23,The Case of the Escaped Platypus,Matt Denis,Case of the Escaped Platypus,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book23/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book23/lcover.png
24,The Case of the New Dog,Carly Schuna,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book24/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book24/lcover.png
26,Ziggy Higgs and the Missing Box of Figs,Steve Ince,Steve Ince,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book26/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book26/lcover.png
27,The Case of the Cookie Ants,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book27/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book27/lcover.png
28,The Case of the Shaking Classroom,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book28/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book28/lcover.png
29,The Forbidden Palace,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book29/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book29/lcover.png
30,The Case of  Bubble Gum Hair,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book30/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book30/lcover.png
31,The  Muddy Race,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book31/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book31/lcover.png
34,The Case of the Shrinking Circus,Mia Serrano,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book34/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book34/lcover.png
36,The Case of the Desk of Worms,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book36/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book36/lcover.png
37,Prankster's Diary:  Go Fish,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book37/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book37/lcover.png
38,The Cursed Diamond Part 1,Mur Lafferty,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book38/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book38/lcover.png
39,The Cursed Diamond Part 2,Mur Lafferty,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book39/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book39/lcover.png
40,War Pig,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book40/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book40/lcover.png
42,The Case of the  Laughing Vampire,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book42/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book42/lcover.png
44,The Case of  the Electric Thief,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book44/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book44/lcover.png
45,The Case of  the Electric Thief,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book45/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book45/lcover.png
46,The Case of the Silly Lightning Hair,Elliott Hedman,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book46/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book46/lcover.png
47,The Case of the Popped Soccer Ball,Elliott Hedman,Kelly Latham,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book47/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book47/lcover.png
